"stock_number","population_name","sub_population_name","data_series_num","species","year","abundance_qty","data_type","production_type","calculation_type","escapement_methodology","escapement_methodology_desc","biologist_methodology_desc","comments","report_types","last_update"
"1144","Cedar Chinook","","1","Chinook","2004","842.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2005","582.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2006","1164.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2007","1893.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2008","1346.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2009","577.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2010","542.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2011","646.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2012","881.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2013","1570.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
