YEAR ,MONTH,INDEX
1950,1.00E+00,-2.19E+00
1950,2.00E+00,-1.45E+00
1950,3.00E+00,-9.65E-01
1950,4.00E+00,-8.59E-01
1950,5.00E+00,-6.34E-01
1950,6.00E+00,-5.81E-01
1950,7.00E+00,-7.42E-01
1950,8.00E+00,-5.49E-01
1950,9.00E+00,-6.02E-01
1950,1.00E+01,1.19E-01
1950,1.10E+01,-2.57E-01
1950,1.20E+01,-4.93E-01
1951,1.00E+00,-4.79E-01
1951,2.00E+00,-4.14E-01
1951,3.00E+00,-5.70E-01
1951,4.00E+00,-5.61E-01
1951,5.00E+00,-1.07E+00
1951,6.00E+00,-1.44E+00
1951,7.00E+00,-1.10E+00
1951,8.00E+00,-1.17E+00
1951,9.00E+00,-1.42E+00
1951,1.00E+01,-1.07E+00
1951,1.10E+01,-1.01E+00
1951,1.20E+01,-1.22E+00
1952,1.00E+00,-1.34E+00
1952,2.00E+00,-1.09E+00
1952,3.00E+00,-6.70E-01
1952,4.00E+00,-4.34E-01
1952,5.00E+00,-6.27E-01
1952,6.00E+00,-9.73E-01
1952,7.00E+00,-1.34E+00
1952,8.00E+00,-8.97E-01
1952,9.00E+00,-5.83E-01
1952,1.00E+01,-2.58E-01
1952,1.10E+01,-3.16E-01
1952,1.20E+01,8.45E-01
1953,1.00E+00,9.44E-01
1953,2.00E+00,7.48E-01
1953,3.00E+00,1.22E+00
1953,4.00E+00,1.25E+00
1953,5.00E+00,1.27E+00
1953,6.00E+00,1.06E+00
1953,7.00E+00,1.04E+00
1953,8.00E+00,6.19E-01
1953,9.00E+00,2.91E-01
1953,1.00E+01,1.08E+00
1953,1.10E+01,2.05E+00
1953,1.20E+01,1.42E+00
1954,1.00E+00,1.09E+00
1954,2.00E+00,1.16E+00
1954,3.00E+00,7.94E-02
1954,4.00E+00,-3.73E-01
1954,5.00E+00,-1.64E-01
1954,6.00E+00,1.78E-01
1954,7.00E+00,-3.52E-02
1954,8.00E+00,-1.32E-01
1954,9.00E+00,-2.63E-01
1954,1.00E+01,1.84E-01
1954,1.10E+01,3.55E-01
1954,1.20E+01,4.04E-01
1955,1.00E+00,3.26E-01
1955,2.00E+00,-2.49E-01
1955,3.00E+00,-2.16E-01
1955,4.00E+00,4.07E-02
1955,5.00E+00,2.61E-01
1955,6.00E+00,-1.59E-02
1955,7.00E+00,-8.80E-02
1955,8.00E+00,2.75E-01
1955,9.00E+00,-1.10E-01
1955,1.00E+01,-5.24E-01
1955,1.10E+01,-8.00E-02
1955,1.20E+01,-5.18E-01
1956,1.00E+00,1.20E-01
1956,2.00E+00,-1.38E-01
1956,3.00E+00,2.30E-02
1956,4.00E+00,-3.82E-02
1956,5.00E+00,1.42E-01
1956,6.00E+00,4.71E-01
1956,7.00E+00,4.64E-01
1956,8.00E+00,5.40E-01
1956,9.00E+00,3.01E-01
1956,1.00E+01,-5.15E-02
1956,1.10E+01,-2.26E-01
1956,1.20E+01,-7.67E-01
1957,1.00E+00,-1.27E+00
1957,2.00E+00,-1.96E+00
1957,3.00E+00,-1.34E+00
1957,4.00E+00,-1.26E+00
1957,5.00E+00,-1.04E+00
1957,6.00E+00,-1.17E+00
1957,7.00E+00,-7.56E-01
1957,8.00E+00,-9.05E-01
1957,9.00E+00,-9.22E-01
1957,1.00E+01,-1.03E+00
1957,1.10E+01,-1.41E+00
1957,1.20E+01,-7.17E-01
1958,1.00E+00,1.17E-01
1958,2.00E+00,1.47E-01
1958,3.00E+00,-1.15E+00
1958,4.00E+00,-7.19E-01
1958,5.00E+00,-8.51E-01
1958,6.00E+00,-7.23E-01
1958,7.00E+00,-8.70E-01
1958,8.00E+00,-6.29E-01
1958,9.00E+00,-2.04E-01
1958,1.00E+01,-5.09E-01
1958,1.10E+01,-7.75E-01
1958,1.20E+01,-4.05E-01
1959,1.00E+00,1.23E-01
1959,2.00E+00,-5.91E-01
1959,3.00E+00,-3.92E-01
1959,4.00E+00,-4.51E-01
1959,5.00E+00,-4.38E-01
1959,6.00E+00,-3.73E-01
1959,7.00E+00,-3.96E-01
1959,8.00E+00,-5.04E-01
1959,9.00E+00,7.27E-02
1959,1.00E+01,1.34E-01
1959,1.10E+01,-4.80E-02
1959,1.20E+01,4.23E-01
1960,1.00E+00,1.02E+00
1960,2.00E+00,8.19E-01
