Salmon Recovery Region,Federal Status,Stock Numbers,Waterbody Name,Species,Run Type,Migration Year,Occupied River Miles,Abundance,Density,Comments,Local Biologist Name,Last Update
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2008,1.60,"28,500","17,813",,Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2009,1.60,"205,000","128,125",,Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2010,1.60,,,"Trap only operated March - May, did not encompass entire outmigration ",Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2011,1.60,"347,598","217,249",,Joshua Weinheimer,02/26/2014 09:50:18 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2012,1.60,"290,890","181,806",,Joshua Weinheimer,02/25/2014 11:11:30 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2013,1.60,"285,469","178,418",,Joshua Weinheimer,02/25/2014 11:11:58 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2014,1.60,"480,201","300,126",,Joshua Weinheimer,12/03/2014 11:29:57 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2015,1.60,"130,125","81,328",,Joshua Weinheimer,07/06/2016 02:18:10 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2016,,"47,478",,,Joshua Weinheimer,09/27/2018 09:58:25 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2017,,"200,710",,,Joshua Weinheimer,10/04/2018 02:12:30 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2002,,"1,009,536",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2004,,"2,430,222",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2005,,"3,975,395",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2007,,"4,885,210",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2008,,"167,830",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2009,,"413,214",,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2008,1.60,"127,424","79,640",Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 02:05:58 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2009,1.60,"608,277","380,173",Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 01:05:29 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2010,1.60,"23,567","14,729",Biased Low Estimate due to late start to the trapping season. Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 01:06:07 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2008,1.80,"184,322","102,401",Single Partial Capture Trap,Mara Zimmerman,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2009,1.80,"364,267","202,371",Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
