"","year","species","n"
"1",2013,"Chinook",29632
"2",2013,"Chum",336530
"3",2013,"Coho",290427
"4",2013,"Pink",3176003
"5",2013,"Sockeye",5964
"6",2014,"Chinook",24809
"7",2014,"Chum",424566
"8",2014,"Coho",121873
"9",2014,"Sockeye",3012
"10",2015,"Chinook",32223
"11",2015,"Chum",322107
"12",2015,"Coho",25040
"13",2015,"Pink",2056600
"14",2015,"Sockeye",547
"15",2016,"Chinook",45501
"16",2016,"Chum",305679
"17",2016,"Coho",76430
"18",2016,"Sockeye",1328
"19",2017,"Chinook",38430
"20",2017,"Chum",326818
"21",2017,"Coho",32478
"22",2017,"Pink",151763
"23",2017,"Sockeye",3795
"24",2018,"Chinook",31856
"25",2018,"Chum",263760
"26",2018,"Coho",94698
"27",2018,"Sockeye",897
"28",2019,"Chinook",8387
"29",2019,"Chum",24040
"30",2019,"Coho",51439
"31",2019,"Pink",619076
"32",2019,"Sockeye",611
