,year,species,n,prop_change,perc_change,perc_increaseordecrease
1,2013,Chinook,29632,0.821106812,82.11068122,-17.88931878
2,2013,Chum,336530,0.619327815,61.93278155,-38.06721845
3,2013,Coho,290427,1.174204471,117.4204471,17.42044711
4,2013,Pink,3176003,1.428351204,142.8351204,42.83512043
5,2013,Sockeye,5964,0.371486077,37.14860767,-62.85139233
6,2014,Chinook,24809,0.687460816,68.74608161,-31.25391839
7,2014,Chum,424566,0.781343516,78.13435156,-21.86564844
8,2014,Coho,121873,0.492735942,49.27359423,-50.72640577
9,2014,Sockeye,3012,0.187611681,18.76116806,-81.23883194
10,2015,Chinook,32223,0.89290378,89.290378,-10.709622
11,2015,Chum,322107,0.592784669,59.2784669,-40.7215331
12,2015,Coho,25040,0.101237419,10.12374192,-89.87625808
13,2015,Pink,2056600,0.924919494,92.49194937,-7.50805063
14,2015,Sockeye,547,0.034071577,3.407157678,-96.59284232
15,2016,Chinook,45501,1.260838994,126.0838994,26.08389937
16,2016,Chum,305679,0.562551652,56.25516516,-43.74483484
17,2016,Coho,76430,0.309008624,30.90086243,-69.09913757
18,2016,Sockeye,1328,0.082718563,8.271856301,-91.7281437
19,2017,Chinook,38430,1.064900607,106.4900607,6.49006072
20,2017,Chum,326818,0.601454485,60.14544855,-39.85455145
21,2017,Coho,32478,0.131309461,13.13094609,-86.86905391
22,2017,Pink,151763,0.068252726,6.82527264,-93.17472736
23,2017,Sockeye,3795,0.236383243,23.6383243,-76.3616757
24,2018,Chinook,31856,0.882734159,88.27341593,-11.72658407
25,2018,Chum,263760,0.485406664,48.54066639,-51.45933361
26,2018,Coho,94698,0.382866658,38.28666584,-61.71333416
27,2018,Sockeye,897,0.055872403,5.587240288,-94.41275971
28,2019,Chinook,8387,0.232404928,23.24049282,-76.75950718
29,2019,Chum,24040,0.044241645,4.424164468,-95.57583553
30,2019,Coho,51439,0.207969313,20.79693134,-79.20306866
31,2019,Pink,619076,0.278418487,27.84184871,-72.15815129
32,2019,Sockeye,611,0.038058014,3.805801356,-96.19419864
32,2013,All,767711.2,1.767441518,176.7441518,76.74415178
32,2014,All,143565,0.681322144,68.13221441,-31.86778559
32,2015,All,487303.4,1.121880547,112.1880547,12.18805469
32,2016,All,107234.5,0.508907042,50.89070419,-49.10929581
32,2017,All,110656.8,0.254756506,25.47565055,-74.52434945
32,2018,All,97802.75,0.46414641,46.41464099,-53.58535901
32,2019,All,140710.6,0.323947021,32.39470213,-67.60529787
