,year,species,n,perc_change,percincrease_decrease
1,2016,Chinook,45501,143.2860304,43.28603042
2,2016,Chum,305679,75.15984887,-24.84015113
3,2016,Coho,76430,45.00787489,-54.99212511
4,2016,Sockeye,1328,19.7750132,-80.2249868
5,2016,All,428938,69.74705757,-30.25294243
6,2017,Chinook,38430,121.0189259,21.0189259
7,2017,Chum,326818,80.35747136,-19.64252864
8,2017,Coho,32478,19.12554966,-80.87445034
9,2017,Pink,151763,6.81465589,-93.18534411
10,2017,Sockeye,3795,56.51067401,-43.48932599
11,2017,All,553284,19.46812229,-80.53187771
12,2018,Chinook,31856,100.3169114,0.3169114
13,2018,Chum,263760,64.85287422,-35.14712578
14,2018,Coho,94698,55.76548131,-44.23451869
15,2018,Sockeye,897,13.3570684,-86.6429316
16,2018,All,391211,63.61249444,-36.38750556
17,2019,Chinook,8387,26.41128628,-73.58871372
18,2019,Chum,24040,5.910915591,-94.08908441
19,2019,Coho,51439,30.29124789,-69.70875211
20,2019,Pink,619076,27.79854055,-72.20145945
21,2019,Sockeye,611,9.09829297,-90.90170703
22,2019,All,703553,24.75556105,-75.24443895
