"","year","production","pop_name","n","originprop","originpercentage"
"1",1959,"Composite","Cascade Chinook",500,0.219876868953386,21.9876868953386
"2",1960,"Composite","Cascade Chinook",1116,0.193012798339675,19.3012798339675
"3",1961,"Composite","Cascade Chinook",1191,0.219863393021968,21.9863393021968
"4",1962,"Composite","Cascade Chinook",827,0.219946808510638,21.9946808510638
"5",1963,"Composite","Cascade Chinook",547,0.207511380880121,20.7511380880121
"6",1964,"Composite","Cascade Chinook",264,0.122109158186864,12.2109158186864
"7",1965,"Composite","Cascade Chinook",866,0.072022621423819,7.2022621423819
"8",1966,"Composite","Cascade Chinook",652,0.0377183848200856,3.77183848200856
"9",1967,"Composite","Cascade Chinook",325,0.0403977625854568,4.03977625854568
"10",1968,"Composite","Cascade Chinook",256,0.0169256198347107,1.69256198347107
"11",1969,"Composite","Cascade Chinook",509,0.0393414747256145,3.93414747256145
"12",1970,"Composite","Cascade Chinook",588,0.0211297973264338,2.11297973264338
"13",1971,"Composite","Cascade Chinook",586,0.0268020490303696,2.68020490303696
"14",1972,"Composite","Cascade Chinook",551,0.04294621979735,4.294621979735
"15",1973,"Composite","Cascade Chinook",516,0.0370769562405691,3.70769562405691
"16",1974,"Composite","Cascade Chinook",130,0.00481231953801732,0.481231953801732
"17",1975,"Composite","Cascade Chinook",177,0.00722448979591837,0.722448979591837
"18",1976,"Composite","Cascade Chinook",172,0.00673690807253927,0.673690807253927
"19",1977,"Composite","Cascade Chinook",259,0.0115738671909912,1.15738671909912
"20",1978,"Composite","Cascade Chinook",231,0.00844359967833906,0.844359967833906
"21",1979,"Composite","Cascade Chinook",195,0.00531610370491535,0.531610370491535
"22",1980,"Composite","Cascade Chinook",475,0.0113571155317521,1.13571155317521
"23",1981,"Composite","Cascade Chinook",316,0.017439293598234,1.7439293598234
"24",1982,"Composite","Cascade Chinook",212,0.010442835328309,1.0442835328309
"25",1983,"Composite","Cascade Chinook",156,0.00708028865792221,0.708028865792221
"26",1984,"Composite","Cascade Chinook",113,0.0045593931568754,0.45593931568754
"27",1985,"Composite","Cascade Chinook",100,0.00312304809494066,0.312304809494066
"28",1986,"Composite","Cascade Chinook",380,0.0105537965894573,1.05537965894573
"29",1988,"Composite","Cascade Chinook",133,0.00393770724774988,0.393770724774988
"30",1989,"Composite","Cascade Chinook",218,0.00686333154928691,0.686333154928691
"31",1990,"Composite","Cascade Chinook",269,0.00716702635014521,0.716702635014521
"32",1991,"Composite","Cascade Chinook",135,0.0048378426805232,0.48378426805232
